Gene Group	R1 LPS 0h	R1 LPS 01h	R1 LPS 02h	R1 LPS 04h	R1 LPS 06h	R1 LPS 09h	R1 LPS 12h	R2 LPS 0h	R2 LPS 01h	R2 LPS 02h	R2 LPS 04h	R2 LPS 06h	R2 LPS 09h	R2 LPS 12h	M/L LPS R1 0h	M/L LPS R1 01h	M/L LPS R1 02h	M/L LPS R1 04h	M/L LPS R1 06h	M/L LPS R1 09h	M/L LPS R1 12h	M/L LPS R2 0h	M/L LPS R2 01h	M/L LPS R2 02h	M/L LPS R2 04h	M/L LPS R2 06h	M/L LPS R2 09h	M/L LPS R2 12h
AK171687;Bcl10	4.87286	5.2091	5.17022	4.85291	4.74518	4.57724	4.4483	4.76795	5.16001	5.20153	4.80358	4.67407	4.60349	4.66519	63.75958303	62.26668821	61.20838425	58.94593075	60.49077845	64.29820413	63.72619966	61.14097219	59.18811656	57.26556255	64.33026056	67.04182336	63.05751623	64.01924874
AK188353;Eif4h	5.46426	5.44684	5.40941	5.32846	5.34981	5.36021	5.36501	5.43303	5.5073	5.51073	5.3466	5.33894	5.32921	5.2582	203.4059536	206.6850509	205.2422115	195.5859982	190.1061623	185.531058	187.262604	199.4756074	211.529754	208.3861822	194.8156088	191.8068352	187.3567191	180.3934572
AK211593;Timm50	4.73334	4.58339	4.26654	4.17133	3.93504	3.77474	3.79215	4.59673	4.34485	4.11394	3.92392	3.80742	4.12254	4.34714	33.5379041	33.60170472	33.4325985	33.03510365	33.85893179	32.8136169	30.30555754	35.81275261	34.55964328	34.26874408	33.75670079	32.21333228	30.82716936	29.26694354
Aars	3.71892	3.48481	3.36917	3.31903	3.25456	3.40508	3.66395	3.66941	3.5122	3.37008	3.22991	3.39557	3.51121	3.52714	123.2976969	127.0635454	124.7483367	116.9669262	113.3174495	112.8461246	110.2050988	122.4519891	122.8888202	123.5397345	115.291108	112.367703	115.3690598	115.0611651
Abcd1	3.64209	3.37245	2.95234	2.27338	1.93384	2.37015	2.78484	3.29006	3.09232	2.96239	2.53484	2.53059	2.58873	2.33017	9.7686563	9.876820692	9.57700332	9.200550483	9.190724747	8.625898956	8.733017647	10.54589876	10.4042085	9.533382368	8.828421645	8.939684823	8.534258635	8.283527668
Abcf2	3.9697	3.90183	3.62407	3.26136	3.22788	3.46462	3.56891	3.77522	3.81268	3.66898	3.49369	3.52655	3.44246	3.2988	30.77519345	31.22269552	29.2915832	28.41125362	28.92592703	27.86919955	27.10978239	31.31855963	30.55553297	29.75267751	28.70807382	28.34153364	27.41019842	27.63659273
Abi1	4.57797	4.6957	4.76674	4.52482	4.44802	4.44554	4.39734	4.4599	4.77687	4.85093	4.63977	4.56634	4.34919	4.21313	104.286712	107.3405808	106.0110648	105.707204	110.0824182	106.5903806	99.86226076	106.3302879	110.1013292	106.1663363	106.0487833	106.8755319	104.7894234	99.57106172
Acads	3.97511	3.88089	3.66958	3.48177	3.34606	3.34405	3.50853	4.06389	4.04385	3.60853	3.21075	3.23669	3.51488	3.52739	218.958919	223.4543743	214.5332423	203.2066295	199.8817223	210.6141772	210.6097557	216.5200481	219.8792462	219.5522547	206.3200819	206.8956317	209.0814284	202.7654437
Acbd3	4.60871	4.77989	5.0129	4.79996	4.61303	4.56752	4.59076	4.62758	4.81639	4.82458	4.75697	4.58001	4.64989	4.71735	50.88949773	51.23544713	50.07359455	50.08953726	49.75346023	49.35522483	48.72179005	50.83328257	50.07139981	51.48659676	50.67479363	50.15926106	49.43814045	47.52203732
Acin1	5.77133	5.92394	5.8558	5.79247	5.50944	5.2091	5.22252	5.76726	5.97308	5.60669	5.50983	5.4306	5.48445	5.5127	67.34386381	68.69858866	71.08153783	68.6671503	62.93014743	63.53876807	63.91954411	71.31564315	72.18203446	67.55812352	64.3208946	66.4920101	63.86116007	61.12585701
Aco1	4.1092	3.95165	3.72549	3.40362	3.13843	3.2573	3.47365	3.86441	3.94006	3.6218	3.30803	3.36462	3.52288	3.43752	108.9445286	101.915706	99.01638607	101.7961465	101.703924	95.89656886	90.05041169	100.6648581	99.83520904	104.4639748	105.176782	99.49123984	96.37704196	92.45606777
Acot13	4.24616	3.93428	4.04381	3.82404	3.34443	3.53373	3.77371	4.24644	4.12508	4.07474	3.89095	3.47876	3.16657	3.71761	227.2588634	223.3013225	213.0046666	207.085932	209.4556978	201.137062	197.4352423	214.9520531	223.6732534	222.526637	207.6426986	213.0230745	202.7533896	193.7659765
Acot8	3.7128	3.50108	3.25347	3.1486	3.20682	3.45087	3.62125	3.54122	3.76463	3.20554	2.90854	3.30383	3.60374	3.56741	34.37277511	35.59729893	35.45389115	32.91947428	32.14378007	31.26622482	28.85619493	36.22742226	35.46825088	33.33731557	32.22903775	32.18097738	30.53343936	30.5184785
Acp1	3.55229	3.52528	3.39303	3.27845	3.29506	3.32459	3.37277	3.58318	3.64147	3.31234	3.15426	3.30185	3.33509	3.41328	191.2094567	196.7068846	186.3024809	183.7965208	183.6631066	181.0275035	178.5667269	190.0039334	194.1266162	185.7620556	184.7528728	183.8776751	179.8400465	183.3040564
Acp5	5.06426	4.89696	5.00713	5.18766	5.1583	5.55047	5.83204	5.00623	4.90151	5.21549	5.24218	5.37999	5.39974	5.55169	73.66248954	76.43686174	79.40895024	75.50671207	70.75990597	69.84448664	69.7613325	74.23339465	74.72849203	72.9110869	72.24918719	75.62026981	74.19228156	68.92477411
Acpp	4.41115	4.82851	5.32256	6.00452	6.37642	6.25912	6.03693	4.84935	5.27593	5.45825	5.85746	6.07025	5.9972	5.73079	23.84167071	23.64239917	24.39584108	24.29689506	25.10436228	25.48294157	25.41726257	23.83794895	23.57199398	22.48908412	23.93579977	26.2298277	26.79985237	25.42272148
