ENSG	R1t0	R1t0.5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R3t0	R3t0.5	R3t1	R3t2	R3t8	R3t16	R3t24	R3t30	LFQ.intensity.1_0h_RS1	LFQ.intensity.2_05h_RS1	LFQ.intensity.3_1h_RS1	LFQ.intensity.4_2h_RS1	LFQ.intensity.5_8h_RS1	LFQ.intensity.6_16h_RS1	LFQ.intensity.7_24h_RS1	LFQ.intensity.8_30h_RS1	LFQ.intensity.1_0h_RS3	LFQ.intensity.2_05h_RS3	LFQ.intensity.3_1h_RS3	LFQ.intensity.4_2h_RS3	LFQ.intensity.5_8h_RS3	LFQ.intensity.6_16h_RS3	LFQ.intensity.7_24h_RS3	LFQ.intensity.8_30h_RS3
ENSG00000143153	14.32981757	14.38818261	14.44699974	14.56849347	15.27037976	14.59667697	14.59798818	14.66576589	14.28857316	14.31134886	14.33371909	14.37638709	13.88976463	14.18920487	14.45137313	14.64196429	21.7573542	21.75523642	21.85494598	21.63860737	21.8160102	19.93100581	21.57570173	22.19790537	21.90146502	22.1654873	21.67409225	21.90899504	21.63214145	20.86619829	21.16594726	21.57800775
ENSG00000165169	9.85694783	9.800419046	9.743945401	9.630843277	9.323497014	9.323741673	9.463056914	9.515300129	9.779709597	9.775527657	9.771696743	9.765504484	9.843916731	9.631365519	9.586135152	9.564361385	20.60783598	20.80404277	20.65578226	20.9897465	20.61504046	20.92005331	21.17967831	19.39621593	20.73661333	20.54679651	20.30863678	20.11286198	20.10482395	19.83793585	20.23584596	20.05972997
ENSG00000159111	12.18001657	12.24665892	12.3130297	12.44532204	12.58884565	12.51307202	12.42938929	12.36089783	12.31105182	12.24975036	12.18807055	12.06317202	12.53706125	12.51259662	12.48076556	12.45796747	20.55243645	20.23759744	20.77273661	19.09450042	20.45553192	20.45523088	19.5989975	20.5028085	20.24725072	20.22670382	20.6846596	20.81049005	20.37156397	19.93171283	20.45773756	19.68467672
ENSG00000206053	10.68627903	10.67087813	10.65550335	10.62504373	10.64808023	10.56736293	10.4979356	10.44780541	10.65561443	10.65987114	10.66423457	10.67388598	10.20803767	10.3146115	10.44259861	10.54148247	22.20874994	22.48689393	22.5793896	22.76995565	22.15746043	22.0680881	21.99545112	20.83352634	22.12959118	21.93337081	22.45630929	22.20594952	21.91939875	21.63032046	21.6743078	21.9570581
ENSG00000214026	11.04896054	10.90649843	10.76411112	10.47897278	10.06338784	10.47647761	10.68159891	10.86506127	10.94690997	10.86077291	10.77467958	10.60070716	11.06271583	10.94796034	10.96851039	10.99683408	20.55627777	20.02215105	19.91590271	19.72194027	20.01957444	19.28665251	19.66076892	19.34927259	19.77752824	19.79713904	20.08108809	19.95020274	19.16263227	17.98665314	19.50076798	18.685618
ENSG00000174851	13.47455231	13.46818393	13.46082731	13.44180882	13.41394755	14.12342712	14.37049995	14.51042089	13.56586248	13.50720749	13.44899332	13.33427912	14.34743336	14.34808085	14.12803544	14.04551841	16.56478958	17.98019537	18.029449	18.81428204	17.3550069	19.09483542	17.99297152	18.16511309	19.10190388	18.41946647	17.42611731	18.64835758	19.77455544	19.89098264	20.00484041	19.42488798
ENSG00000101596	9.011278214	9.050023388	9.089360538	9.170609948	8.992938875	9.034738167	9.03555737	9.031150766	8.521422778	8.633059767	8.743537789	8.958467821	8.851221978	8.887490055	8.935205418	8.969927777	20.21466063	20.74106533	21.20776743	20.55515454	20.38700758	19.6248704	19.89771844	19.41224731	20.39225872	20.35455502	20.41017804	20.4093495	20.0669721	20.50086521	20.89496871	19.23937011
ENSG00000087460	6.802955014	6.703928735	6.6049875	6.408089469	6.138384444	6.601910247	6.832366714	6.983082573	6.440828424	6.433901772	6.426711393	6.412540297	6.3841647	6.414768007	6.691937369	6.912070203	19.78212799	20.0959687	20.11832265	20.00182049	19.60273511	19.65845209	19.96056198	20.06789122	20.55149799	20.46173922	20.09699819	20.74730793	20.73512627	19.64080626	20.81511119	20.1470608
ENSG00000134183	4.204733728	4.321931023	4.439054077	4.672981124	4.165852504	4.351887586	4.536754406	4.674948645	4.38766279	4.408584835	4.429324571	4.470856908	4.553963676	4.449736029	4.698690585	4.835368673	19.78212799	20.0959687	20.11832265	20.00182049	19.60273511	19.65845209	19.96056198	20.06789122	20.55149799	20.46173922	20.09699819	20.74730793	20.73512627	19.64080626	20.81511119	20.1470608
ENSG00000002586	9.952942166	9.925431267	9.897473658	9.84213993	9.418434549	9.882432887	10.1029926	10.2617147	10.10499055	9.947944583	9.790454777	9.47127831	10.00104707	10.09561298	10.05076025	10.00499027	20.14307923	20.11806913	19.97463305	18.90771221	18.41794314	19.68253517	20.43918564	20.67184855	18.26535866	17.53639901	20.58398623	19.02019867	20.19303921	19.7059698	19.82231875	19.97253112
