Gene_Group	R1_LPS_0h	R1_LPS_01h	R1_LPS_02h	R1_LPS_04h	R1_LPS_06h	R1_LPS_09h	R1_LPS_12h	R2_LPS_0h	R2_LPS_01h	R2_LPS_02h	R2_LPS_04h	R2_LPS_06h	R2_LPS_09h	R2_LPS_12h	ML_LPS_R1_0h	ML_LPS_R1_01h	ML_LPS_R1_02h	ML_LPS_R1_04h	ML_LPS_R1_06h	ML_LPS_R1_09h	ML_LPS_R1_12h	ML_LPS_R2_0h	ML_LPS_R2_01h	ML_LPS_R2_02h	ML_LPS_R2_04h	ML_LPS_R2_06h	ML_LPS_R2_09h	ML_LPS_R2_12h	HL_LPS_R1_0h	HL_LPS_R1_01h	HL_LPS_R1_02h	HL_LPS_R1_04h	HL_LPS_R1_06h	HL_LPS_R1_09h	HL_LPS_R1_12h	HL_LPS_R2_0h	HL_LPS_R2_01h	HL_LPS_R2_02h	HL_LPS_R2_04h	HL_LPS_R2_06h	HL_LPS_R2_09h	HL_LPS_R2_12h
Adnp	47.59534808	33.19770785	38.33984787	27.97208529	40.74650639	36.91881599	38.29209808	37.34939265	30.83392499	30.28436361	24.32789486	32.1805347	27.28169024	29.79762951	1.26512197414	1.2992119316	1.14262790827	1.08705725552	1.00743311575	0.870208183214	0.823849172568	1.16294673406	1.24184492072	1.17076669192	1.17046637572	1.06124622387	0.967648625983	0.833780425217	-0.158411238195	-0.0847859748599	-0.0627713888021	0.0181467083564	0.16777028661	0.347621143976	0.526764107004	-0.165409681914	-0.140515739863	0.0962628594699	0.234844806788	0.259385375516	0.422838259576	0.555753984036
Plcb2	108.4428014	86.89583692	64.2892777	17.88654776	11.48685115	18.69895864	24.8346832	160.4762299	221.8483317	69.17651277	20.04697096	26.40016651	34.77688315	34.9862723	3.28123896363	3.38686271081	3.35217308487	3.21617265065	3.28394552062	3.25045401132	3.14793744498	3.28199719547	3.37793830376	3.22333058798	3.20013824634	3.19309675019	3.27763328621	3.19425509128	1.26877095667	1.32622923874	1.38264671161	1.40141904589	1.40715951552	1.49056872838	1.55908124645	1.24729276266	1.29389806659	1.26167864724	1.36001593527	1.41701075608	1.51634114664	1.51554806333
Rel	15.22589901	182.1138658	153.8137417	132.1992931	79.49706929	49.12479344	50.74044971	46.79369059	377.9319425	212.7411601	240.8484207	164.8294574	179.2802136	123.0603075	4.05581085043	3.96307109831	3.85927352793	3.94391545685	3.86203540788	3.68809183451	3.64079150308	4.1058857328	3.97568192638	3.93916858471	3.87794751356	3.83020311179	3.76137577073	3.63109541035	2.24287952457	2.2591515082	2.38278322163	2.92080007889	3.55998913361	3.62512380683	3.58076260156	2.23751081926	2.39456134137	2.4213682995	3.05562622848	3.48962770375	3.55056741893	3.645117538
Dennd4c	32.03869069	23.39185595	12.3386677	10.27719754	10.53671038	15.18731665	14.32270483	11.34357238	9.28296103	7.31473417	6.380143644	12.92137806	5.169028245	14.17108087	1.62691504355	1.67568118108	1.64068223554	1.5801331399	1.48319759824	1.46748532434	1.37508233247	1.67475822287	1.6305281024	1.54594612703	1.56582144391	1.55871985171	1.34326801983	1.36123031934	0.572890517166	0.538283794877	0.622059245899	0.772866826724	0.836614561514	0.968969506496	0.970378566968	0.598735859395	0.643865953768	0.663054963962	0.789585611756	0.86203733384	1.06867402054	1.05052275368
Plekhf2	44.46890688	19.4805999	42.1216394	71.42830056	91.05409079	59.879479	61.37216551	35.78298386	35.25626399	34.64200533	67.47335432	85.10800681	62.57450406	49.09493378	2.26584974127	2.31310298314	2.36670645585	2.31816297466	2.33005621415	2.15949246582	2.18286992136	2.39532178513	2.3556879792	2.38533189546	2.36949651166	2.35208109242	2.18406821037	2.08235522606	0.653589682322	0.579536610407	0.699297802886	0.575728247159	0.678156670152	1.1364562703	1.44818478191	0.489911095053	0.617241292444	0.607232740648	0.570076178435	0.550757136442	1.07471179275	1.4332492082
Dusp3	95.48796559	95.44323835	72.30433	36.22435335	23.91781081	31.41364466	44.61022772	157.481582	161.9579842	112.5300434	54.99659013	31.36206363	61.69018581	65.45942133	5.73716128564	5.83549796513	5.73566733708	5.77462203997	5.82102916084	5.69221796388	5.63244755811	5.78596107512	5.81285396707	5.81160391276	5.79434549705	5.74128596684	5.70700457036	5.49975822511	3.14139122789	3.23383006958	3.38673796706	3.60076842268	3.60856413144	3.78552275031	3.87639310938	3.13541593934	3.15322014018	3.41043411645	3.5103817812	3.64215388687	3.85154996926	3.90497940859
Lgals9	201.0604613	104.1390288	257.2347297	476.7165339	580.426524	786.8950738	620.9358961	118.5357603	115.8098081	193.7425041	383.8689926	630.7364401	523.9109041	564.3458057	4.92489509977	4.82102179059	4.78360788369	4.74803309705	4.78083029134	4.5432029465	4.46733394461	4.79223983152	4.83874999168	4.84310870187	4.68727370991	4.75143191144	4.54168244997	4.51238802871	3.37829938121	3.46416874696	3.53774658557	3.68820506783	4.2558002697	4.84744373976	5.14633696786	3.46090907923	3.4784358189	3.61431114602	3.7297874951	4.35134679209	4.95336839335	5.20712314098
Gyk	20.01679408	29.35703206	53.68270028	46.58026484	42.07028293	24.34857201	13.29277168	12.55226828	25.91187144	55.50063617	37.46163893	38.07110279	22.63915225	12.62380683	3.19785062017	3.12240212447	3.20776330653	3.04672219687	2.99759581417	2.83158235378	2.83773806784	3.21799900959	3.18994516068	3.19010790518	3.11104023433	3.04078240683	2.91286733363	2.8061354159	0.613286749516	0.802086898015	0.893621357662	1.26706909973	1.40487655828	1.56974662379	1.83145305531	0.798113688124	0.776315780626	0.879260843416	1.25462736407	1.41647085779	1.65560438331	1.90785094654
Prpsap1	50.35685664	33.0351678	34.27280809	40.1312032	50.97951314	40.76273108	36.34447291	38.969231	26.31907122	22.20709265	33.65304665	42.4833908	28.35060329	20.75539384	3.06197651112	2.98728428713	3.0672994014	3.04507308345	3.06590343206	2.97738227746	2.90879992263	3.09526951944	3.11089661347	3.09891236232	3.13319183647	3.00748866092	2.93860183978	2.85727228916	1.25872461912	1.26689320491	1.28305727634	1.32541731034	1.34607700862	1.41223277487	1.49615293803	1.26997796672	1.34787180567	1.26316209612	1.32231659274	1.42011015463	1.45683488943	1.55717766559
Grb2	227.7843623	214.5532102	194.0427821	163.2717809	196.2840622	234.3404155	269.6423512	272.5678524	197.3949708	213.805194	152.4359658	236.4373866	239.4910183	252.4544683	5.212675141	5.11947061829	5.04784915086	5.06430806785	4.99418622535	4.90424761626	4.79636952778	5.09672161607	5.14120826555	5.13021500499	5.20402216101	4.98338444439	4.87374843728	4.83653674894	3.55996702771	3.61633350578	3.83377377501	3.84255227079	3.96038242011	4.19478197557	4.311518555	3.5864529204	3.63483716911	3.83949243992	3.83300536764	3.99724778858	4.14786588978	4.18935669534
Lcp2	112.1768493	256.7429426	327.5698102	221.8380126	151.5890809	105.6095037	91.56149848	101.0406868	261.403691	305.1905043	187.3879384	150.6831444	113.7907202	79.53770203	2.96277967073	2.99619161652	2.87349140366	2.90939801526	2.77356690682	2.67678330157	2.65023943844	3.02320967827	2.98011285878	2.9727675043	2.99776829453	2.87233867474	2.66052110568	2.64346310493	1.5875191804	1.53741266687	1.61939344077	2.23183686018	2.6464403201	2.71041841342	2.85081542967	1.3860675024	1.45886880186	1.57548063096	2.22864944614	2.58767476319	2.59208553017	2.8617974847
Elac2	13.5222193	10.79976557	6.320313814	4.044665657	4.590080869	3.752055354	5.248230913	2.684938577	10.58094057	3.713132442	1.833026915	1.577714072	2.608667363	2.218343181	1.48015603564	1.4981249471	1.51579063335	1.34702870674	1.43456696995	1.23703964851	1.18641434525	1.4707525295	1.52731460126	1.44760779099	1.36405856761	1.26877450313	1.26615735486	1.16233639005	-0.111250935521	0.542237399837	0.418413989151	0.378290563078	0.401471998111	0.473210640133	0.622478191556	-0.0548320884025	0.356498518066	0.360362809711	0.415258071523	0.488277742319	0.456020050136	0.488921283408
Hgs	52.69880196	47.17848936	49.84779032	59.91116614	55.52564814	54.22534548	66.52612967	38.06935796	59.95939271	42.13852931	48.18165588	52.43552953	41.72367468	70.97531218	3.85545244436	3.99877277502	3.87398632494	3.85453900053	3.88267284551	3.6992591181	3.7328324823	4.02181684798	3.93591481686	3.83749841536	3.8720858605	3.92173482865	3.83800165899	3.68538854109	1.66585168743	1.80466615007	2.10712933075	2.1156069402	2.20988001637	2.40388978739	2.57651399568	1.55630840891	1.7805040128	1.98135806475	1.98052587967	2.10837544929	2.36615971449	2.58730144404
Mtm1	41.33444228	98.23990832	52.77361765	49.74303648	51.76192428	39.7147636	40.05111224	41.45518211	85.13328333	46.54280574	53.01561915	48.67216491	52.98641024	41.38866956	2.04840072619	2.02274972914	1.98922753395	1.9267936551	1.93939724482	1.75790829136	1.76055650897	2.06200146328	1.97766761977	1.89605834063	1.99460804844	1.82098027203	1.72975104322	1.75324792646	0.821660863019	0.751968087995	0.988135480996	1.07288154137	1.13637060943	1.40850539582	1.51072261668	0.803256723707	0.842202975638	0.919496534841	1.15825065293	1.25063163914	1.3836380885	1.52153550804
Clta	1111.569185	1105.01518	929.3378687	947.8575935	962.2379695	1011.413978	976.4373122	1061.904027	899.0393772	962.8495866	796.6159927	924.773741	904.9470285	979.9998914	7.19857240695	7.19793917927	7.16536166747	7.14567292358	7.06350826673	7.09478020252	7.04574582398	7.18021347946	7.0998361247	7.07730438967	7.09923378982	7.14910620411	7.07540804405	7.07662164062	4.55909722696	4.49222814557	4.59581558742	4.87779673056	5.14303170245	5.49729660935	5.66228667655	4.39095271434	4.43788216966	4.40746522033	4.76960337986	5.11727547174	5.37904426702	5.62130330903
Baiap2	61.35102249	33.96499083	18.61322853	31.69949806	39.58313499	45.91907766	55.50472919	50.60475325	37.91284521	21.50814244	45.56900907	47.94374707	53.63235591	43.38451725	2.79124517846	2.69858571227	2.73486296261	2.62577732184	2.61732542274	2.55735146202	2.48985247537	2.80430693908	2.62213234345	2.59917732378	2.63452381463	2.45121458007	2.54203115917	2.36236798953	1.33881913742	1.35027728733	1.4465199294	1.45674610949	1.52227211182	1.53154975208	1.61671818409	1.40217428389	1.52091039199	1.41260440849	1.49820019157	1.51578285932	1.57030241356	1.70349624312
Myo18a	52.71865888	52.4441833	30.42085286	19.05953204	11.46725267	18.72033118	30.28017261	82.18741033	98.85517828	56.86704936	24.20921319	21.06635928	32.29924761	37.9502284	1.83146410161	1.84206709241	1.76534375372	1.73992671134	1.76743701315	1.76697957781	1.54008603859	1.82791460782	1.82025964944	1.80510737388	1.69574494818	1.77100606346	1.7393993922	1.67272619778	-0.0463419589146	0.373879876756	0.686998451888	0.663651611503	0.700179121608	0.684718741267	0.838023862773	-0.275442060283	0.25934776926	0.568502584007	0.611648624502	0.699281289296	0.689708228657	0.689582143615
Gm5483	321.2989775	588.4223954	559.2012849	324.0092279	256.6486574	160.4294389	133.8442785	388.6860029	335.451263	415.1562515	262.534728	252.8351789	168.1666498	161.7011376	6.00803192726	5.89540722184	5.97312309743	5.90016809506	5.93458656626	5.87677382677	5.79879340825	6.03429838034	5.82869521882	6.0162406171	5.97279564769	5.98177477606	5.830468392	5.84342881918	1.9253555048	2.08891818029	2.20752317224	2.28936449803	2.50774601999	2.74075872382	2.88930016779	1.78274965343	1.95963618028	2.15167024827	2.22824957478	2.38420395731	2.66233397087	2.85127090791
Lrch3	15.22883604	14.83456148	21.73541667	31.17317065	35.14009219	30.66751676	23.67050265	9.664239057	22.02830484	20.02046621	35.49371062	34.47612052	21.60224886	23.84129405	1.54460501127	1.52680668644	1.5021720112	1.37040162662	1.39829880154	1.27827063527	1.20554969859	1.60799822986	1.57898001963	1.45637537546	1.40701633468	1.37905850562	1.24322151616	1.19279054201	-0.0849092454658	-0.0133123577	-0.0671366022447	0.0676564376985	0.237186810329	0.655390262878	0.89164917442	-0.0537831929687	-0.0233228178944	0.0634427766925	0.0557151058344	0.279623378918	0.695949416026	1.00007612673
Ppfia1	36.33682581	32.22289038	60.89057823	56.06614659	46.61220269	61.03499466	65.40070941	42.79705823	43.12102208	61.49370199	80.7184552	56.41066886	56.85101347	49.75850462	1.51679874596	1.56119032352	1.46196548837	1.41222116772	1.45428329124	1.36495178913	1.28256855995	1.46440301214	1.51485458509	1.51181060266	1.41098784222	1.33640491574	1.37282297908	1.23522479186	0.240735591798	0.286474649057	0.2977503506	0.448521946349	0.384724723697	0.563392225967	0.651293341309	0.214129781361	0.38685405954	0.321628596348	0.429015453102	0.405355089717	0.60688832503	0.686397527784
Nfatc1	33.72879328	19.46994786	17.27851994	9.699348015	8.922061255	8.556083694	7.795651688	25.42682247	17.22795412	14.60175734	8.49338951	8.61744171	10.7584002	9.077529345	0.0156053405326	-0.150602304942	-0.117960235317	-0.138685570352	-0.24736423756	-0.30815873835	-0.327331238241	-0.085631882779	-0.074554153338	-0.0476513742301	-0.243095248487	-0.174047378521	-0.31585535113	-0.392895599635	-1.64143875126	-1.41037627731	-1.23180649092	-1.03727728424	-0.793709870861	-0.656959865618	-0.438464808618	-1.30684111934	-1.0919374178	-1.04542278451	-0.821672075895	-0.738718451129	-0.528078638534	-0.45711206974
Flna	401.1589367	445.2939491	406.6589363	277.1315776	200.2295792	177.9808585	180.5585264	370.0293421	365.7477589	290.4196401	223.0675943	174.4201808	213.1984384	167.75945	6.72558657701	6.65941627273	6.7011706712	6.65481356245	6.67402478068	6.57721461088	6.57036990864	6.6928850655	6.68244333636	6.58033466161	6.64084766186	6.66199960487	6.62154635286	6.57200646019	4.40422115058	4.45531505199	4.53866697683	4.56110420166	4.79924288892	4.87395798247	5.10741537576	4.45710402284	4.40299971519	4.51579620237	4.5536771247	4.75809040208	4.8623787678	5.02664001262
Abi1	104.5152742	112.205455	141.179887	89.69748837	92.42517516	90.00043953	83.07373935	76.46883288	117.745118	132.0009391	90.32953568	97.85268916	69.60426296	59.73203939	4.52798644995	4.58106011555	4.55552563682	4.49783361886	4.55043006609	4.46829702126	4.36020333733	4.52544625512	4.60977081883	4.49952495262	4.51502273217	4.47399393373	4.47138560202	4.30632342735	2.48225999085	2.48090267444	2.50691392094	2.75179457968	2.91956586389	3.05339332282	3.04391741081	2.45045855722	2.50365378394	2.5306066937	2.74968113793	2.81491522522	2.91252983143	3.11662137777
